Send,Paid,Recived
315,30,200
60,315,60
200,315,55
3000,315,50
4331,100,3000
4332,100,62
"15,344",75,100
140,707,595
360,134,3636
50,15,1800
4332,199,4332
3333,79,3636
250,105,3636
100,270,100
76,90,595
151,85,3636
40,140,3636
100,40,595
50,140,595
76,60,100
16,1890,595
77,1701,595
250,1890,100
1000,"20,000",100
100,261,595
137,100,595
3077,1,100
120,55,3636
75,20,3636
100,100,595
94,90,3636
120,19,595
200,375,3636
125,15,100
50,15,595
50,6,3636
25,3,595
10,100,100
250,100,3636
200,180,62
40,100,62
250,199,595
15,95,100
150,30,3636
340,200,595
249,20,3636
1,61,100
40,40,100
40,150,595
300,15,300
380,115,200
94,20,200
80,150,100
75,103,35
610,105,200
1500,100,50
110,60,1497
610,20,30
250,41,1000
210,20,70
270,30,150
4700,70,40
4700,25,200
130,230,300
7900,7,430
"20,000",239,790
"27,900",35,260
535,35,200
521,15,500
4700,898,50
230,898,50
100,898,166
220,65,20
2236,814,40
70,35,166
80,135,36
65,95,40
21,20,100
150,40,109
120,10,400
100,466,200
100,20,200
210,651,200
60,100,26
45,154,26
45,55,26
60,19,26
25,115,82
40,80,40
60,30,45
75,20,1000
22,165,3000
60,200,2000
136,40,521
18,121,521
45,220,521
67,239,1000
100,898,265
60,898,4695
30,1018,4695
107,754,4695
107,165,5
45,6,4700
55,15,4700
45,19,4700
50,960,4400
10,960,4700
52,960,4700
210,550,100
100,1350,61
500,180,8
500,700,650
3737,20,40
500,120,55
55,84,45
40,20,30
100,130,15
170,787,40
50,1200,40
100,1200,40
20,100,45
45,350,500
80,200,20
65,30,53
40,100,1000
70,100,1500
185,915,1000
130,915,100
340,1050,170
1200,514,499
30,1155,211
250,467,120
60,577,190
638,525,200
85,682,45
462,239,35
40,897,10
200,599,10
107,600,96
160,20,4
50,160,3
944,189,120
3827,170,110
65,20,190
300,10,200
250,120,40
19,186,6000
10,60,6000
65,20,15
150,100,2000
95,682,3000
80,180,3000
"16,500",897,3000
85,21,6000
100,55,20
75,20,2000
351,209,2000
57,50,300
370,20,472
370,205,5000
740,20,"11,800"
3000,150,4000
199,35,5000
1000,10,5000
30,65,5000
74,20,5000
270,40,22
15,20,370
122,20,5000
60,405,2500
70,390,20
23,100,40
23,100,20
300,47,100
174,20,20
130,20,2000
400,67,100
50,15,100
45,60,100
200,80,100
107,70,200
40,181,12
26,50,50
80,99,30
500,22,30
15,32,3000
15,30,60
10,15,100
110,84,40
3737,25,40
25,10,100
"20,000",1,1000
90,45,20
100,20,170
100,10,25
1100,55,60
50,452,115
15,452,60
78,15,60
75,30,100
45,24,50
200,30,135
210,55,78
10,50,50
100,50,50
60,10,50
150,25,30
150,320,225
40,20,62
215,199,2500
200,729,225
25,199,225
1000,470,225
45,239,225
999,270,225
1100,30,255
1100,30,2000
110,10,40
4149,90,60
112,38,40
491,40,70
72,30,30
380,6,138
160,12,175
190,73,200
74,30,10
300,30,1000
130,6,10
15,30,45
915,45,100
107,1198,50
175,30,110
45,83,190
700,829,190
