Send,Paid,Recived
637,8,190
100,10,75
40,30,2000
3970,50,30
140,452,5000
5579,27,100
5579,50,60
60,35,10
45,24,30
70,60,3
100,829,10
40,567,20
40,630,3000
40,100,110
55,50,75
1000,830,30
10,735,30
25,30,30
100,100,3
40,20,140
460,10,30
100,10,200
47,115,30
100,15,50
20,50,4
32,614,160
120,614,500
90,199,145
200,845,220
5000,90,20
40,22,3
40,20,170
20,20,90
3637,45,136
200,30,180
100,1144,"10,000"
45,50,50
90,40,10
20,50,20
20,30,200
1000,20,200
60,15,3000
60,70,1000
1100,15,1000
107,179,1000
40,619,100
65,446,18
20,892,20
225,15,25
300,52,10
100,210,30
75,20,20
99,60,100
15,10,227
1,40,500
1,20,227
1,20,227
1,201,227
1,1192,227
195,200,227
200,50,227
3000,375,227
200,80,525
40,20,29
124,20,195
20,40,175
30,480,175
30,99,175
600,40,125
100,24,130
100,260,4000
50,15,5000
950,20,14
250,720,2000
70,40,1000
3637,20,4
5000,300,600
225,318,500
15,20,250
55,44,100
73,10,40
1,30,3
2268,10,2000
40,213,200
65,60,400
120,85,60
5,239,3
5,10,70
120,5,70
300,120,500
80,200,200
100,125,1
22,500,250
455,20,130
1410,875,120
106,70,130
1,310,130
160,55,140
80,350,3
24,100,6
13,45,500
40,165,500
800,80,6000
200,20,1000
221,55,500
221,100,300
100,60,160
1000,20,23
400,120,1
200,430,150
200,400,1000
80,25,order
50,400,order
500,24,1000
80,130,1000
4300,25,150
4300,30,200
4300,70,200
400,5,400
280,20,1000
50,100,150
70,50,150
30,360,1
50,100,1000
500,45,1
650,200,300
500,239,1000
400,80,30
1000,400,30
50,200,1110
200,30,515
200,37,1500
220,25,1
200,25,100
1,30,677
190,30,1500
500,20,1500
500,15,2000
500,20,2000
500,10,2000
95,30,1000
95,10,1000
1000,15,0
300,10,0
300,45,0
300,100,0
300,20,0
300,20,0
1600,20,0
1684,30,0
130,10,0
40,15,0
3,20,0
3,25,0
3,30,0
422,10,0
200,20,0
55,20,0
150,20,0
100,160,0
150,298,0
150,199,0
150,130,0
150,58,0
1,140,0
291,58,0
60,20,0
60,10,0
160,14,0
1,20,0
0,40,0
0,20,0
0,30,0
0,32,0
0,32,0
0,125,0
0,40,0
0,40,0
0,30,0
0,20,0
0,10,0
0,40,0
0,211,0
0,165,0
0,240,0
0,149,0
0,10,0
0,20,0
0,40,0
0,20,0
0,40,0
0,20,0
0,20,0
0,100,0
0,15,0
0,85,0
0,10,0
0,25,0
0,50,0
0,30,0
0,20,0
0,20,0
0,30,0
0,60,0
0,485,0
0,225,0
0,330,0
0,303,0
0,40,0
0,340,0
0,6000,0
0,20,0
0,1616,0
0,1616,0
0,50,0
0,20,0
0,10,0
0,239,0
0,239,0
0,20,0
0,40,0
0,10,0
0,20,0
0,10,0
0,15,0
0,20,0
0,200,0
0,33,0
0,20,0
0,8,0
0,10,0
0,10,0
0,35,0
0,25,0
0,93,0
0,105,0
0,100,0
0,2500,0
0,227,0
0,227,0
0,20,0
0,120,0
0,175,0
0,175,0
0,175,0
0,266,0
0,30,0
0,368,0
0,300,0
0,270,0
0,199,0
0,100,0
0,50,0
0,239,0
0,315,0
0,220,0
0,180,0
0,106,0
0,295,0
0,155,0
0,100,0
0,25,0
0,1157,0
0,20,0
0,270,0
0,199,0
0,255,0
0,40,0
0,230,0
0,70,0
0,239,0
0,80,0
0,80,0
0,60,0
0,210,0
0,40,0
0,80,0
0,270,0
0,199,0
0,40,0
0,177,0
0,1192,0
0,1192,0
0,490,0
0,80,0
0,40,0
0,239,0
0,199,0
0,490,0
0,490,0
0,483,0
0,239,0
0,199,0
0,598,0
0,15,0
0,99,0
0,70,0
0,250,0
0,160,0
0,199,0
0,199,0
0,70,0
0,270,0
0,239,0
0,6000,0
0,40,0
0,60,0
0,348,0
0,110,0
0,191,0
0,199,0
0,648,0
0,181,0
0,48,0
0,227,0
0,90,0
0,199,0
0,395,0
0,138,0
0,623,0
0,117,0
0,137,0
0,137,0
0,199,0
0,199,0
0,199,0
0,594,0
0,300,0
0,500,0
0,199,0
0,249,0
0,529,0
0,249,0
0,11,0
0,21,0
0,112,0
0,237,0
0,682,0
0,682,0
0,682,0
0,199,0
0,199,0
0,100,0
0,50,0
0,26,0
0,460,0
0,25,0
0,380,0
